yearlink;year;municipality;link;ingeschreven;neergelegd;blanco_ongeldig
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Asse;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=972&party_id=;21525;19835;751
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Assenede;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=880&party_id=;10614;10061;446
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Assesse;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=838&party_id=;4424;4230;223
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Attert;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=1099&party_id=;2874;2719;122
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Aubange;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=1100&party_id=;9912;9029;852
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Aubel;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=780&party_id=;2791;2637;125
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Avelgem;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=1014&party_id=;7216;6909;351
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Awans;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=756&party_id=;6214;5733;291
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Aywaille;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=757&party_id=;7741;6855;611
http://www.ibzdgip.fgov.be/result/nl/result_vt.php?date=2000-10-08&vt=CG;8/10/2000;Baarle Hertog;http://www.ibzdgip.fgov.be/result/nl/result_ko.php?date=2000-10-08&vt=CG&ko_type=KO_CG&ko=472&party_id=;1191;1154;59
